,Player,avoided_tackles,grades_offense,longest,receptions,routes,targets,yards,yards_after_catch,yprr,ypt
0,Jaxon Smith-Njigba,6.0,63.3,35.0,63.0,477.0,90.0,628.0,370.0,1.32,6.977777777777778
1,Quentin Johnston,5.0,58.9,57.0,38.0,488.0,65.0,431.0,152.0,0.88,6.630769230769231
2,Zay Flowers,19.0,75.6,75.0,77.0,522.0,104.0,858.0,396.0,1.64,8.25
3,Jordan Addison,5.0,68.6,62.0,70.0,606.0,104.0,911.0,267.0,1.5,8.759615384615385
4,Jonathan Mingo,5.0,54.7,40.0,43.0,539.0,83.0,418.0,161.0,0.78,5.036144578313253
5,Jayden Reed,6.0,75.1,59.0,64.0,387.0,90.0,793.0,348.0,2.05,8.811111111111112
6,Rashee Rice,12.0,85.0,67.0,79.0,392.0,100.0,938.0,656.0,2.39,9.38
7,Tank Dell,3.0,83.4,68.0,47.0,320.0,74.0,709.0,145.0,2.22,9.58108108108108
8,Jalin Hyatt,1.0,59.7,58.0,23.0,388.0,40.0,373.0,53.0,0.96,9.325
9,Cedric Tillman,4.0,55.5,23.0,21.0,358.0,42.0,224.0,67.0,0.63,5.333333333333333
10,Josh Downs,9.0,70.3,59.0,68.0,483.0,94.0,771.0,374.0,1.6,8.202127659574469
11,Michael Wilson,6.0,68.3,69.0,38.0,415.0,59.0,565.0,143.0,1.36,9.576271186440678
12,Tre Tucker,1.0,65.2,50.0,19.0,224.0,34.0,331.0,27.0,1.48,9.735294117647058
13,Derius Davis,3.0,60.5,18.0,15.0,73.0,17.0,66.0,114.0,0.9,3.882352941176471
14,Charlie Jones,0.0,65.8,35.0,7.0,30.0,9.0,64.0,34.0,2.13,7.111111111111111
15,Tyler Scott,1.0,52.7,30.0,17.0,257.0,31.0,168.0,65.0,0.65,5.419354838709677
16,Dontayvion Wicks,9.0,78.4,35.0,39.0,285.0,57.0,580.0,218.0,2.04,10.175438596491228
17,Puka Nacua,11.0,87.9,80.0,105.0,574.0,153.0,1486.0,627.0,2.59,9.712418300653594
18,Parker Washington,2.0,51.1,19.0,16.0,177.0,19.0,132.0,38.0,0.75,6.947368421052632
19,Kayshon Boutte,0.0,47.1,11.0,2.0,83.0,7.0,19.0,10.0,0.23,2.7142857142857144
20,Trey Palmer,1.0,51.3,54.0,39.0,459.0,66.0,385.0,113.0,0.84,5.833333333333333
21,A.T. Perry,0.0,61.0,44.0,12.0,208.0,18.0,246.0,19.0,1.18,13.666666666666666
22,Elijah Higgins,0.0,63.6,26.0,14.0,91.0,17.0,163.0,71.0,1.79,9.588235294117649
23,Xavier Hutchinson,0.0,46.9,34.0,8.0,170.0,18.0,90.0,17.0,0.53,5.0
24,Andrei Iosivas,0.0,61.2,16.0,15.0,152.0,25.0,116.0,34.0,0.76,4.64
25,Demario Douglas,12.0,74.4,42.0,49.0,330.0,76.0,561.0,343.0,1.7,7.381578947368421
26,Antoine Green,0.0,53.7,2.0,1.0,55.0,2.0,2.0,1.0,0.04,1.0
27,Colton Dowell,0.0,54.4,3.0,1.0,17.0,2.0,3.0,1.0,0.18,1.5
28,Jalen Brooks,0.0,65.1,24.0,6.0,33.0,6.0,64.0,30.0,1.94,10.666666666666666
29,Ronnie Bell,0.0,61.1,20.0,6.0,78.0,13.0,68.0,11.0,0.87,5.230769230769231
